legacy_type,legacy_shade,products,bare,full,forms
SA,VIO,482,0.031,0.098,SAVIO 54%; SAVIO + SAVIO 8%; VIO 6%
SA,W.SA,5,0.0,0.0,W.SAP 100%
SA,WH,236,0.008,0.0,W.SAP 25%; W.SA 13%; W.SAP + SIL 10%
SA,YL,874,0.018,0.124,SAYL 78%; GR TRI + YL 2%; SAYL_PS6X4 2%
SA,YLM,1,0.0,0.0,
SA,YM,842,0.011,0.172,SAYM 59%; YEL.SAP YM 8%; NO PRL + SAYM 5%
SA,YS,214,0.023,0.065,SAYS 45%; YEL.SAP YS 18%; CIT3A + YS 9%
SB,,10,0.1,0.0,SEA BAMBOO 50%; CORAL 25%; SEA_BAM 25%
SK,2,31,0.0,0.323,SAK2 59%; SK2 18%; SK2_PS6X4 6%
SK,BK,2,0.0,0.0,SK.BL + CTR 50%; SKBL 50%
SK,DD,153,0.007,0.739,SKDD 70%; SA 4%; AAQUOTATION 3%
SK,DF,52,0.0,0.712,SKDF 81%; R.CUT SKDF 8%; SKLD 3%
SK,FF,2,0.0,1.0,
SK,LD,239,0.0,0.393,SKDD 34%; SKLD 28%; HEM + SKLD 3%
SK,LF,10,0.0,0.4,SKLF 100%
SMQ,,115,0.391,0.0,SMQ 38%; SQ 28%; SMQ BRIOLET 7%
SMQ,A,1668,0.034,0.0,L.SMQ 22%; L.SQ 15%; L.SMQ BRI 8%
SMQ,AA,9,0.0,0.0,SQ_BRI_NO_TT 67%; SQ_BR_NO_TT 33%
SMQ,AAA,23,0.522,0.0,SMQ_BR 25%; SMQ_BR_NODT 25%; SMQ 25%
SPE,,53,0.226,0.0,SPESSARTITE 29%; SPESS 24%; SPES PR 12%
SPE,BK,1,0.0,0.0,BL.SP 100%
SPE,M,1,0.0,0.0,KIT SPESS 100%
SPE,YS,3,0.0,0.0,
SPI,,5,0.2,0.0,SPI 25%; SPINEL #53 25%; SPINE RU 17.5 25%
SPI,BK,108,0.0,0.0,BK.SPINEL 19%; BL.SP 12%; BK.SPI 12%
SPI,PK,12,0.0,0.0,SPINEL + PINK 50%; PINK.SPI 25%; PINK.SPINEL 25%
SPI,PURP,2,0.0,0.0,
SPI,RED,11,0.364,0.0,RED SPI 33%; RED SPINEL 33%; STAR + RED.SPI 33%
STS,BK,6,0.0,0.0,W.DT 100%
STS,PK,2,0.0,0.0,
STS,WH,8,0.0,0.0,
STS,YM,1,0.0,0.0,
SYN,,1,0.0,0.0,
SYN,PK,5,0.6,0.0,P.SYN 100%
TAN,,3,0.667,0.0,TAN 50%; TAN + PEAEL 50%
TAN,A,26,0.692,0.115,TANA 50%; TAN 50%
TAN,AA,237,0.473,0.008,TANZ 42%; TAN 19%; TAN2A 12%
TAN,AAA,390,0.254,0.054,TAN3A 25%; TANAAA 8%; TAN 8%
TAN,C,1,1.0,0.0,
THP,A,6,0.0,0.0,BAR.L.TAH 60%; L.TAHITI 20%; BAR_L_TAH 20%
THP,AAA,12,0.0,0.0,GOLD 50%; BAR_MULTI_TAH 30%; DTS 10%
THP,AUB,38,0.0,0.0,TAHITI 83%; DTS 17%
THP,MUL,3,0.0,0.0,TAH BAR MULTI 67%; BAR. MULTI 33%
THP,PCK,29,0.0,0.0,TAH PEA 43%; PC_TAH 29%; PC-TAH 5%
THP,SIL,33,0.0,0.0,L_TAH 32%; L.TAHITI 25%; L.TAH 18%
TIG,,70,0.043,0.0,TIGER EYE 39%; TIGER.EYE 13%; TIGER_EYE 10%
TIG,C,1,0.0,0.0,TIGER EYE 100%
TOP,WH,7,0.0,0.0,W.TOP 33%; 3X=S + P + Y + W.TOP 33%; W. + S.TOP 33%
TOU,PARA,4,0.0,0.0,JD + PARA 100%
